"for","voor"
"Add ticket","Ticket inschieten"
"has been successfully added.","is succesvol toegevoegd."
"Description","Omschrijving"
"Type","Type"
"Bug","Bug"
"Enhancement","Verbetering"
"Feature","Functionaliteit"
"Task","Taak"
"Priority","Prioriteit"
"Summary","Samenvatting"
"Additional information","Extra informatie"
"(i.e. screenshots)","(bijv screenshots)"
"File","Bestand"
"Files","Bestanden"
"Elgentos Tickets","Elgentos Tickets"
"Open Codebase","Open Codebase"
"ID","ID"
"Reporter","Toegevoegd door"
"Assignee","Toegekend aan"
"Created","Aangemaakt"
"Updated","Geupdate"
"Created at","Aangemaakt"
"Updated at","Geupdate"
"Link to Codebase","Link naar Codebase"
"Status","Status"
"Codebase","Codebase"
"None","Niemand"
"This module hasn\'t been configured yet. Please see System > Configuration > Elgentos > Codebase.","Deze module is nog niet geconfigureerd. Zie Systeem > Configuratie > Elgentos > Codebase."
"This module hasn't been configured yet. Please see System > Configuration > Elgentos > Codebase.","Deze module is nog niet geconfigureerd. Zie Systeem > Configuratie > Elgentos > Codebase."
"Back","Terug"
"Open ticket in Codebase","Open ticket in Codebase"
"Note","Notitie"
"Empty note.","Lege notitie."
"Category","Categorie"
"Fields","Velden"
"The first part of your Codebase URL (http://<strong>name</strong>.codebasehq.com)","Het eerste deel van je Codebase URL (http://<strong>name</strong>.codebasehq.com)"
"Choose the fields you want to show in the ticket overview","Selecteer de velden die je in het overzicht wil laten zien"
"Accountdomain","Account domein"
"Username","Gebruikersnaam"
"The username you use to sign in to Codebase","Je gebruikersnaam voor Codebase"
"The accompanying password","Het bijbehorende wachtwoord"
"Password","Wachtwoord"
"Make sure to save the username & password first","Sla eerst je gebruikersnaam & wachtwoord op"
"Open tickets in Magento","Open tickets in Magento"
"Use secure connection","Gebruik beveiligde verbinding"
"Yes","Ja"
"No","Nee"
"New","Nieuw"
"Accepted","Geaccepteerd"
"In Progress","In uitvoering"
"Completed","Afgerond"
"Invalid","Ongeldig"
"The format for the dates. See <a href='http://php.net/date' target='_new'>php.net/date</a> for syntax information.","De opbouw van de data. Zie <a href='http://php.net/date' target='_new'>php.net/date</a> voor syntax informatie."
"Critical","Kritiek"
"High","Hoog"
"Low","Laag"
"Normal","Normaal"
"Date/time format","Opbouw datum/tijd"
"Browser","Browser"
"Browser unknown","Browser onbekend"
